// Auto generated mapfile				
//				
//   legend				
//   col - 0 based column from left to right				
//   row - 0 based row from bottom to top				
//   bank - bank name - values can be A B C or D				
//   elec - 1 based electrode number within the bank - values can be 1-32				
//   label - label used to rename channels in Central (optional)				
//				
// Comments begin with //				
// First non-comment line is the Mapfile description				
//				
Cerebus mapping for array 1049-29, 1049-30    SN: 4566-002318				
//
col	row	bank	elec	label
10	9	C	1	elec2-128
10	7	C	3	elec2-127
10	5	C	5	elec2-126
10	3	C	7	elec2-125
10	1	C	9	elec2-124
10	0	C	11	elec2-123
11	8	C	13	elec2-122
11	6	C	15	elec2-121
11	4	C	2	elec2-120
11	2	C	4	elec2-119
11	0	C	6	elec2-118
12	9	C	8	elec2-117
12	7	C	10	elec2-116
12	5	C	12	elec2-115
12	3	C	14	elec2-114
12	1	C	16	elec2-113
13	8	C	17	elec2-112
13	6	C	18	elec2-111
13	4	C	20	elec2-110
13	2	C	19	elec2-109
13	0	C	22	elec2-108
14	9	C	21	elec2-107
14	7	C	23	elec2-106
14	5	C	24	elec2-105
14	3	C	25	elec2-104
14	1	C	26	elec2-103
15	9	C	27	elec2-102
15	8	C	28	elec2-101
15	6	C	29	elec2-100
15	4	C	30	elec2-99
15	2	C	32	elec2-98
15	0	C	31	elec2-97
0	8	B	1	elec1-96
0	7	B	3	elec1-95
0	6	B	5	elec1-94
0	5	B	7	elec1-93
0	4	B	9	elec1-92
0	3	B	13	elec1-91
0	2	B	2	elec1-90
0	1	B	4	elec1-89
1	9	B	6	elec1-88
1	8	B	8	elec1-87
1	7	B	11	elec1-86
1	6	B	15	elec1-85
1	5	B	17	elec1-84
1	4	B	16	elec1-83
1	3	B	10	elec1-82
1	2	B	12	elec1-81
1	1	B	19	elec1-80
1	0	B	21	elec1-79
2	9	B	18	elec1-78
2	8	B	14	elec1-77
2	7	B	24	elec1-76
2	6	B	23	elec1-75
2	5	B	22	elec1-74
2	4	B	20	elec1-73
2	3	B	26	elec1-72
2	2	B	25	elec1-71
2	1	B	30	elec1-70
2	0	B	28	elec1-69
3	9	B	27	elec1-68
3	8	B	32	elec1-67
3	7	B	29	elec1-66
3	6	B	31	elec1-65
3	5	A	2	elec1-64
3	4	A	1	elec1-63
3	3	A	3	elec1-62
3	2	A	4	elec1-61
3	1	A	7	elec1-60
3	0	A	5	elec1-59
4	9	A	6	elec1-58
4	8	A	9	elec1-57
4	7	A	17	elec1-56
4	6	A	15	elec1-55
4	5	A	8	elec1-54
4	4	A	11	elec1-53
4	3	A	13	elec1-52
4	2	A	19	elec1-51
4	1	A	10	elec1-50
4	0	A	12	elec1-49
5	9	A	23	elec1-48
5	8	A	25	elec1-47
5	7	A	21	elec1-46
5	6	A	14	elec1-45
5	5	A	16	elec1-44
5	4	A	20	elec1-43
5	3	A	27	elec1-42
5	2	A	29	elec1-41
5	1	A	31	elec1-40
5	0	A	18	elec1-39
6	9	A	22	elec1-38
6	8	A	24	elec1-37
6	7	A	26	elec1-36
6	6	A	28	elec1-35
6	5	A	30	elec1-34
6	4	A	32	elec1-33
6	3	D	1	elec1-32
6	2	D	3	elec1-31
6	1	D	2	elec1-30
6	0	D	4	elec1-29
7	9	D	5	elec1-28
7	8	D	6	elec1-27
7	7	D	7	elec1-26
7	6	D	8	elec1-25
7	5	D	9	elec1-24
7	4	D	10	elec1-23
7	3	D	11	elec1-22
7	2	D	12	elec1-21
7	1	D	13	elec1-20
7	0	D	14	elec1-19
8	9	D	15	elec1-18
8	8	D	17	elec1-17
8	7	D	16	elec1-16
8	6	D	19	elec1-15
8	5	D	21	elec1-14
8	4	D	23	elec1-13
8	3	D	25	elec1-12
8	2	D	27	elec1-11
8	1	D	29	elec1-10
8	0	D	31	elec1-9
